Parent,Name,Descriptions
,A,General Economics and Teaching
A,A1,General Economics
A1,A10,General
A1,A11,Role of Economics; Role of Economists; Market for Economists
A1,A12,Relation of Economics to Other Disciplines
A1,A13,Relation of Economics to Social Values
A1,A14,Sociology of Economics
A1,A19,Other
A,A2,Economics Education and Teaching of Economics
A2,A20,General
A2,A21,Pre-college
A2,A22,Undergraduate
A2,A23,Graduate
A2,A29,Other
A,A3,Multisubject Collective Works
A3,A30,General
A3,A31,Multisubject Collected Writings of Individuals
A3,A32,Multisubject Conference Volumes
A3,A39,Other
,B,Schools of Economic Thought and Methodology
B,B0,General
B0,B00,General
B,B1,History of Economic Thought through 1925
B1,B10,General
B1,B11,Preclassical
B1,B12,Classical
B1,B13,Neoclassical through 1925
B1,B14,Socialist; Marxist
B1,B15,Historical; Institutional
B1,B19,Other
B,B2,History of Economic Thought since 1925
B2,B20,General
B2,B21,Microeconomics
B2,B22,Macroeconomics
B2,B23,Econometrics; Quantitative Studies
B2,B24,Socialist; Marxist
B2,B25,Historical; Institutional; Evolutionary; Austrian
B2,B29,Other
B,B3,History of Thought: Individuals
B3,B30,General
B3,B31,Individuals
B,B4,Economic Methodology
B4,B40,General
B4,B41,Economic Methodology
B4,B49,Other
B,B5,Current Heterodox Approaches
B5,B50,General
B5,B51,Socialist; Marxian; Sraffian
B5,B52,Institutional; Evolutionary
B5,B53,Austrian
B5,B59,Other
,C,Mathematical and Quantitative Methods
C,C0,General
C0,C00,General
C,C1,Econometric and Statistical Methods: General
C1,C10,General
C1,C11,Bayesian Analysis
C1,C12,Hypothesis Testing
C1,C13,Estimation
C1,C14,Semiparametric and Nonparametric Methods
C1,C15,Statistical Simulation Methods; Monte Carlo Methods
C1,C16,Specific Distributions
C1,C19,Other
C,C2,Econometric Methods: Single Equation Models
C2,C20,General
C2,C21,Cross-Sectional Models; Spatial Models
C2,C22,Time-Series Models
C2,C23,Models with Panel Data
C2,C24,Truncated and Censored Models
C2,C25,Discrete Regression and Qualitative Choice Models
C2,C29,Other
C,C3,Econometric Methods: Multiple/Simultaneous Equation Models
C3,C30,General
C3,C31,Cross-Sectional Models; Spatial Models
C3,C32,Time-Series Models
C3,C33,Models with Panel Data
C3,C34,Truncated and Censored Models
C3,C35,Discrete Regression and Qualitative Choice Models
C3,C39,Other
C,C4,Econometric and Statistical Methods: Special Topics
C4,C40,General
C4,C41,Duration Analysis
C4,C42,Survey Methods
C4,C43,Index Numbers and Aggregation
C4,C44,Statistical Decision Theory; Operations Research
C4,C45,Neural Networks and Related Topics
C4,C49,Other
C,C5,Econometric Modeling
C5,C50,General
C5,C51,Model Construction and Estimation
