id,year,month,day,holiday,worked,date,dayofweek,weekday_fix,block,open,score
12211,2003,10,1,0,1,"10/1/2003",4,1,1,.7777778,39
12211,2003,10,2,0,1,"10/2/2003",5,1,1,.7777778,39
12211,2003,10,3,0,0,"10/3/2003",6,1,1,.7777778,39
12211,2003,10,4,1,0,"10/4/2003",7,1,1,.7777778,39
12211,2003,10,5,0,0,"10/5/2003",1,0,1,.7777778,39
12211,2003,10,6,0,1,"10/6/2003",2,1,1,.7777778,39
12211,2003,10,7,0,1,"10/7/2003",3,1,1,.7777778,39
12211,2003,10,8,0,1,"10/8/2003",4,1,1,.7777778,39
12211,2003,10,9,0,1,"10/9/2003",5,1,1,.7777778,39
12211,2003,10,10,0,1,"10/10/2003",6,1,1,.7777778,39
12211,2003,10,11,0,1,"10/11/2003",7,1,1,.7777778,39
12211,2003,10,12,0,0,"10/12/2003",1,0,1,.7777778,39
12211,2003,10,13,0,1,"10/13/2003",2,1,1,.7777778,39
12211,2003,10,14,0,1,"10/14/2003",3,1,1,.7777778,39
12211,2003,10,15,0,1,"10/15/2003",4,1,1,.7777778,39
12211,2003,10,16,0,1,"10/16/2003",5,1,1,.7777778,39
12211,2003,10,17,0,1,"10/17/2003",6,1,1,.7777778,39
12211,2003,10,18,0,1,"10/18/2003",7,1,1,.7777778,39
12211,2003,10,19,0,0,"10/19/2003",1,0,1,.7777778,39
12211,2003,10,20,0,1,"10/20/2003",2,1,1,.7777778,39
12211,2003,10,21,0,1,"10/21/2003",3,1,1,.7777778,39
12211,2003,10,22,0,1,"10/22/2003",4,1,1,.7777778,39
12211,2003,10,23,0,0,"10/23/2003",5,1,1,.7777778,39
12211,2003,10,24,0,0,"10/24/2003",6,1,1,.7777778,39
12211,2003,10,25,1,0,"10/25/2003",7,1,1,.7777778,39
12211,2003,10,26,0,0,"10/26/2003",1,0,1,.7777778,39
12211,2003,10,27,0,1,"10/27/2003",2,1,1,.7777778,39
12211,2003,10,28,0,1,"10/28/2003",3,1,1,.7777778,39
12211,2003,10,29,0,1,"10/29/2003",4,1,1,.7777778,39
12211,2003,10,30,0,1,"10/30/2003",5,1,1,.7777778,39
12211,2003,10,31,0,1,"10/31/2003",6,1,1,.7777778,39
12211,2003,11,1,0,1,"11/1/2003",7,1,1,.8888889,39
12211,2003,11,2,0,0,"11/2/2003",1,0,1,.8888889,39
12211,2003,11,3,1,0,"11/3/2003",2,1,1,.8888889,39
12211,2003,11,4,1,0,"11/4/2003",3,1,1,.8888889,39
12211,2003,11,5,0,1,"11/5/2003",4,1,1,.8888889,39
12211,2003,11,6,0,1,"11/6/2003",5,1,1,.8888889,39
12211,2003,11,7,0,1,"11/7/2003",6,1,1,.8888889,39
12211,2003,11,8,0,0,"11/8/2003",7,1,1,.8888889,39
12211,2003,11,9,0,0,"11/9/2003",1,0,1,.8888889,39
12211,2003,11,10,0,1,"11/10/2003",2,1,1,.8888889,39
12211,2003,11,11,0,1,"11/11/2003",3,1,1,.8888889,39
12211,2003,11,12,0,1,"11/12/2003",4,1,1,.8888889,39
12211,2003,11,13,0,1,"11/13/2003",5,1,1,.8888889,39
12211,2003,11,14,1,0,"11/14/2003",6,1,1,.8888889,39
12211,2003,11,15,1,0,"11/15/2003",7,1,1,.8888889,39
12211,2003,11,16,0,0,"11/16/2003",1,0,1,.8888889,39
12211,2003,11,17,0,1,"11/17/2003",2,1,1,.8888889,39
12211,2003,11,18,0,1,"11/18/2003",3,1,1,.8888889,39
12211,2003,11,19,0,1,"11/19/2003",4,1,1,.8888889,39
12211,2003,11,20,0,1,"11/20/2003",5,1,1,.8888889,39
12211,2003,11,21,0,1,"11/21/2003",6,1,1,.8888889,39
12211,2003,11,22,0,1,"11/22/2003",7,1,1,.8888889,39
12211,2003,11,23,0,0,"11/23/2003",1,0,1,.8888889,39
12211,2003,11,24,0,1,"11/24/2003",2,1,1,.8888889,39
12211,2003,11,25,0,1,"11/25/2003",3,1,1,.8888889,39
12211,2003,11,26,0,1,"11/26/2003",4,1,1,.8888889,39
12211,2003,11,27,1,0,"11/27/2003",5,1,1,.8888889,39
12211,2003,11,28,0,1,"11/28/2003",6,1,1,.8888889,39
12211,2003,11,29,0,1,"11/29/2003",7,1,1,.8888889,39
12211,2003,11,30,0,0,"11/30/2003",1,0,1,.8888889,39
12211,2003,12,1,1,0,"12/1/2003",2,1,1,.7777778,39
12211,2003,12,2,1,0,"12/2/2003",3,1,1,.7777778,39
12211,2003,12,3,0,1,"12/3/2003",4,1,1,.7777778,39
12211,2003,12,4,0,1,"12/4/2003",5,1,1,.7777778,39
12211,2003,12,5,0,0,"12/5/2003",6,1,1,.7777778,39
12211,2003,12,6,0,1,"12/6/2003",7,1,1,.7777778,39
12211,2003,12,7,0,0,"12/7/2003",1,0,1,.7777778,39
12211,2003,12,8,0,1,"12/8/2003",2,1,1,.7777778,39
12211,2003,12,9,0,1,"12/9/2003",3,1,1,.7777778,39
12211,2003,12,10,0,1,"12/10/2003",4,1,1,.7777778,39
12211,2003,12,11,0,1,"12/11/2003",5,1,1,.7777778,39
12211,2003,12,12,0,1,"12/12/2003",6,1,1,.7777778,39
