Econometrica|ECONOMETRICA
AER|AMERICAN ECONOMIC REVIEW
JPE|JOURNAL OF POLITICAL ECONOMY
JOE|JOURNAL OF ECONOMETRICS
QJE|QUARTERLY JOURNAL OF ECONOMICS
RESTUD|REVIEW OF ECONOMIC STUDIES
JBES|JOURNAL OF BUSINESS AND ECONOMIC STATISTICS
JME|JOURNAL OF MONETARY ECONOMICS
GEB|GAMES AND ECONOMIC BEHAVIOR
JEP|JOURNAL OF ECONOMIC PERSPECTIVES
RESTAT|REVIEW OF ECONOMICS AND STATISTICS
IER|INTERNATIONAL ECONOMIC REVIEW
EER|EUROPEAN ECONOMIC REVIEW
JHR|JOURNAL OF HUMAN RESOURCES
JPUBE|JOURNAL OF PUBLIC ECONOMICS
JAE|JOURNAL OF APPLIED ECONOMETRICS
JEL|JOURNAL OF ECONOMIC LITERATURE
JEDC|JOURNAL OF ECONOMIC DYNAMICS AND CONTROL
JOLE|JOURNAL OF LABOR ECONOMICS
RJE|RAND JOURNAL OF ECONOMICS
CJE|CANADIAN JOURNAL OF ECONOMICS
OTH|OTHER - ENTER ON NEXT LINE
